Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.53     0.00     2549     0.00     0.00  std::_Vector_base<char*, std::allocator<char*> >::_M_get_Tp_allocator() const
  0.00      2.53     0.00     2549     0.00     0.00  char** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<char*>(char* const*, char* const*, char**)
  0.00      2.53     0.00     2541     0.00     0.00  __gnu_cxx::new_allocator<char*>::~new_allocator()
  0.00      2.53     0.00     2541     0.00     0.00  std::allocator<char*>::~allocator()
  0.00      2.53     0.00     2541     0.00     0.00  std::_Vector_base<char*, std::allocator<char*> >::_Vector_impl::~_Vector_impl()
  0.00      2.53     0.00     2541     0.00     0.00  std::_Vector_base<char*, std::allocator<char*> >::~_Vector_base()
  0.00      2.53     0.00     2541     0.00     0.00  std::vector<char*, std::allocator<char*> >::~vector()
  0.00      2.53     0.00     2417     0.00     0.00  std::map<int, std::vector<char*, std::allocator<char*> >, std::less<int>, std::allocator<std::pair<int const, std::vector<char*, std::allocator<char*> > > > >::lower_bound(int const&)
  0.00      2.53     0.00     2417     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::vector<char*, std::allocator<char*> > >, std::_Select1st<std::pair<int const, std::vector<char*, std::allocator<char*> > > >, std::less<int>, std::allocator<std::pair<int const, std::vector<char*, std::allocator<char*> > > > >::lower_bound(int const&)
  0.00      2.53     0.00     2412     0.00     0.00  std::vector<char*, std::allocator<char*> >::operator=(std::vector<char*, std::allocator<char*> > const&)
  0.00      2.53     0.00     2287     0.00     0.00  sub_framework::SubEpollEvent::_event_del(int, int)
  0.00      2.53     0.00     1702     0.00     0.00  __gnu_cxx::__normal_iterator<char**, std::vector<char*, std::allocator<char*> > >::__normal_iterator(char** const&)
  0.00      2.53     0.00     1702     0.00     0.00  std::vector<char*, std::allocator<char*> >::max_size() const
  0.00      2.53     0.00     1702     0.00     0.00  char** std::__uninitialized_copy<true>::uninitialized_copy<char**, char**>(char**, char**, char**)
  0.00      2.53     0.00     1702     0.00     0.00  char** std::__copy_move_a<false, char**, char**>(char**, char**, char**)
  0.00      2.53     0.00     1702     0.00     0.00  char** std::__copy_move_a2<false, char**, char**>(char**, char**, char**)
  0.00      2.53     0.00     1702     0.00     0.00  char** std::uninitialized_copy<char**, char**>(char**, char**, char**)
  0.00      2.53     0.00     1702     0.00     0.00  char** std::__uninitialized_copy_a<char**, char**, char*>(char**, char**, char**, std::allocator<char*>&)
  0.00      2.53     0.00     1702     0.00     0.00  char** std::__uninitialized_move_a<char**, char**, std::allocator<char*> >(char**, char**, char**, std::allocator<char*>&)
  0.00      2.53     0.00     1702     0.00     0.00  char** std::copy<char**, char**>(char**, char**, char**)
  0.00      2.53     0.00     1698     0.00     0.00  std::_Vector_base<char*, std::allocator<char*> >::_M_allocate(unsigned long)
  0.00      2.53     0.00     1694     0.00     0.00  __gnu_cxx::new_allocator<char*>::new_allocator()
  0.00      2.53     0.00     1694     0.00     0.00  __gnu_cxx::__normal_iterator<char* const*, std::vector<char*, std::allocator<char*> > >::__normal_iterator(char* const* const&)
  0.00      2.53     0.00     1694     0.00     0.00  __gnu_cxx::__normal_iterator<char* const*, std::vector<char*, std::allocator<char*> > >::base() const
  0.00      2.53     0.00     1694     0.00     0.00  std::allocator<char*>::allocator()
  0.00      2.53     0.00     1694     0.00     0.00  std::_Vector_base<char*, std::allocator<char*> >::_Vector_impl::_Vector_impl()
  0.00      2.53     0.00     1694     0.00     0.00  std::_Vector_base<char*, std::allocator<char*> >::_Vector_base()
  0.00      2.53     0.00     1694     0.00     0.00  std::__miter_base<__gnu_cxx::__normal_iterator<char* const*, std::vector<char*, std::allocator<char*> > >, false>::__b(__gnu_cxx::__normal_iterator<char* const*, std::vector<char*, std::allocator<char*> > >)
  0.00      2.53     0.00     1694     0.00     0.00  std::__niter_base<__gnu_cxx::__normal_iterator<char* const*, std::vector<char*, std::allocator<char*> > >, true>::__b(__gnu_cxx::__normal_iterator<char* const*, std::vector<char*, std::allocator<char*> > >)
  0.00      2.53     0.00     1694     0.00     0.00  std::vector<char*, std::allocator<char*> >::vector()
  0.00      2.53     0.00     1581     0.00     0.00  std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**>::_Deque_iterator(std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**> const&)
  0.00      2.53     0.00     1571     0.00     0.00  std::map<std::string, int (*)(void*, void*), std::less<std::string>, std::allocator<std::pair<std::string const, int (*)(void*, void*)> > >::lower_bound(std::string const&)
  0.00      2.53     0.00     1571     0.00     0.00  std::map<std::string, int (*)(void*, void*), std::less<std::string>, std::allocator<std::pair<std::string const, int (*)(void*, void*)> > >::operator[](std::string const&)
  0.00      2.53     0.00     1571     0.00     0.00  std::deque<sub_framework::SubTask*, std::allocator<sub_framework::SubTask*> >::begin()
  0.00      2.53     0.00     1571     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int (*)(void*, void*)>, std::_Select1st<std::pair<std::string const, int (*)(void*, void*)> >, std::less<std::string>, std::allocator<std::pair<std::string const, int (*)(void*, void*)> > >::lower_bound(std::string const&)
  0.00      2.53     0.00     1570     0.00     0.00  req_task_call_back(void*, void*)
  0.00      2.53     0.00     1570     0.00     0.00  sub_framework::HttpParser::_parse_desc(char*, sub_framework::Request&)
