Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.53     0.00        1     0.00     0.00  std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**> std::__uninitialized_copy<true>::uninitialized_copy<std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask* const&, sub_framework::SubTask* const*>, std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**> >(std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask* const&, sub_framework::SubTask* const*>, std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask* const&, sub_framework::SubTask* const*>, std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**>)
  0.00      2.53     0.00        1     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, int (*)(void*, void*)> >::_Rb_tree_const_iterator(std::_Rb_tree_iterator<std::pair<std::string const, int (*)(void*, void*)> > const&)
  0.00      2.53     0.00        1     0.00     0.00  std::map<std::string, int (*)(void*, void*), std::less<std::string>, std::allocator<std::pair<std::string const, int (*)(void*, void*)> > >::insert(std::_Rb_tree_iterator<std::pair<std::string const, int (*)(void*, void*)> >, std::pair<std::string const, int (*)(void*, void*)> const&)
  0.00      2.53     0.00        1     0.00     0.00  std::map<std::string, int (*)(void*, void*), std::less<std::string>, std::allocator<std::pair<std::string const, int (*)(void*, void*)> > >::map()
  0.00      2.53     0.00        1     0.00     0.00  std::pair<std::string const, int (*)(void*, void*)>::pair(std::string const&, int (* const&)(void*, void*))
  0.00      2.53     0.00        1     0.00     0.00  std::pair<std::string const, int (*)(void*, void*)>::pair(std::pair<std::string const, int (*)(void*, void*)> const&)
  0.00      2.53     0.00        1     0.00     0.00  std::pair<std::string const, int (*)(void*, void*)>::~pair()
  0.00      2.53     0.00        1     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<std::string const, int (*)(void*, void*)> >, bool>::pair(std::_Rb_tree_iterator<std::pair<std::string const, int (*)(void*, void*)> > const&, bool const&)
  0.00      2.53     0.00        1     0.00     0.00  std::deque<sub_framework::SubTask*, std::allocator<sub_framework::SubTask*> >::_M_destroy_data(std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**>, std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**>, std::allocator<sub_framework::SubTask*> const&)
  0.00      2.53     0.00        1     0.00     0.00  std::deque<sub_framework::SubTask*, std::allocator<sub_framework::SubTask*> >::end()
  0.00      2.53     0.00        1     0.00     0.00  std::deque<sub_framework::SubTask*, std::allocator<sub_framework::SubTask*> >::deque(std::deque<sub_framework::SubTask*, std::allocator<sub_framework::SubTask*> > const&)
  0.00      2.53     0.00        1     0.00     0.00  std::deque<sub_framework::SubTask*, std::allocator<sub_framework::SubTask*> >::deque()
  0.00      2.53     0.00        1     0.00     0.00  std::deque<sub_framework::SubTask*, std::allocator<sub_framework::SubTask*> >::~deque()
  0.00      2.53     0.00        1     0.00     0.00  std::queue<sub_framework::SubTask*, std::deque<sub_framework::SubTask*, std::allocator<sub_framework::SubTask*> > >::queue(std::deque<sub_framework::SubTask*, std::allocator<sub_framework::SubTask*> > const&)
  0.00      2.53     0.00        1     0.00     0.00  std::vector<sub_framework::SubThread*, std::allocator<sub_framework::SubThread*> >::vector()
  0.00      2.53     0.00        1     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int (*)(void*, void*)>, std::_Select1st<std::pair<std::string const, int (*)(void*, void*)> >, std::less<std::string>, std::allocator<std::pair<std::string const, int (*)(void*, void*)> > >::_M_insert_(std::_Rb_tree_node_base const*, std::_Rb_tree_node_base const*, std::pair<std::string const, int (*)(void*, void*)> const&)
  0.00      2.53     0.00        1     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int (*)(void*, void*)>, std::_Select1st<std::pair<std::string const, int (*)(void*, void*)> >, std::less<std::string>, std::allocator<std::pair<std::string const, int (*)(void*, void*)> > >::_M_get_node()
  0.00      2.53     0.00        1     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int (*)(void*, void*)>, std::_Select1st<std::pair<std::string const, int (*)(void*, void*)> >, std::less<std::string>, std::allocator<std::pair<std::string const, int (*)(void*, void*)> > >::_Rb_tree_impl<std::less<std::string>, false>::_M_initialize()
  0.00      2.53     0.00        1     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int (*)(void*, void*)>, std::_Select1st<std::pair<std::string const, int (*)(void*, void*)> >, std::less<std::string>, std::allocator<std::pair<std::string const, int (*)(void*, void*)> > >::_Rb_tree_impl<std::less<std::string>, false>::_Rb_tree_impl()
  0.00      2.53     0.00        1     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int (*)(void*, void*)>, std::_Select1st<std::pair<std::string const, int (*)(void*, void*)> >, std::less<std::string>, std::allocator<std::pair<std::string const, int (*)(void*, void*)> > >::_M_create_node(std::pair<std::string const, int (*)(void*, void*)> const&)
  0.00      2.53     0.00        1     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int (*)(void*, void*)>, std::_Select1st<std::pair<std::string const, int (*)(void*, void*)> >, std::less<std::string>, std::allocator<std::pair<std::string const, int (*)(void*, void*)> > >::_M_insert_unique(std::pair<std::string const, int (*)(void*, void*)> const&)
  0.00      2.53     0.00        1     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int (*)(void*, void*)>, std::_Select1st<std::pair<std::string const, int (*)(void*, void*)> >, std::less<std::string>, std::allocator<std::pair<std::string const, int (*)(void*, void*)> > >::_M_insert_unique_(std::_Rb_tree_const_iterator<std::pair<std::string const, int (*)(void*, void*)> >, std::pair<std::string const, int (*)(void*, void*)> const&)
  0.00      2.53     0.00        1     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int (*)(void*, void*)>, std::_Select1st<std::pair<std::string const, int (*)(void*, void*)> >, std::less<std::string>, std::allocator<std::pair<std::string const, int (*)(void*, void*)> > >::begin()
  0.00      2.53     0.00        1     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int (*)(void*, void*)>, std::_Select1st<std::pair<std::string const, int (*)(void*, void*)> >, std::less<std::string>, std::allocator<std::pair<std::string const, int (*)(void*, void*)> > >::_Rb_tree()
  0.00      2.53     0.00        1     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::vector<char*, std::allocator<char*> > >, std::_Select1st<std::pair<int const, std::vector<char*, std::allocator<char*> > > >, std::less<int>, std::allocator<std::pair<int const, std::vector<char*, std::allocator<char*> > > > >::_M_insert_unique(std::pair<int const, std::vector<char*, std::allocator<char*> > > const&)
  0.00      2.53     0.00        1     0.00     0.00  std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**> std::__copy_move_a<false, std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask* const&, sub_framework::SubTask* const*>, std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**> >(std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask* const&, sub_framework::SubTask* const*>, std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask* const&, sub_framework::SubTask* const*>, std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**>)
  0.00      2.53     0.00        1     0.00     0.00  std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**> std::__copy_move_a2<false, std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask* const&, sub_framework::SubTask* const*>, std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**> >(std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask* const&, sub_framework::SubTask* const*>, std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask* const&, sub_framework::SubTask* const*>, std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**>)
  0.00      2.53     0.00        1     0.00     0.00  std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**> std::uninitialized_copy<std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask* const&, sub_framework::SubTask* const*>, std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**> >(std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask* const&, sub_framework::SubTask* const*>, std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask* const&, sub_framework::SubTask* const*>, std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**>)
  0.00      2.53     0.00        1     0.00     0.00  std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**> std::__uninitialized_copy_a<std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask* const&, sub_framework::SubTask* const*>, std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**>, sub_framework::SubTask*>(std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask* const&, sub_framework::SubTask* const*>, std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask* const&, sub_framework::SubTask* const*>, std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**>, std::allocator<sub_framework::SubTask*>&)
  0.00      2.53     0.00        1     0.00     0.00  std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**> std::copy<std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask* const&, sub_framework::SubTask* const*>, std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**> >(std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask* const&, sub_framework::SubTask* const*>, std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask* const&, sub_framework::SubTask* const*>, std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**>)
  0.00      2.53     0.00        1     0.00     0.00  std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask* const&, sub_framework::SubTask* const*>::difference_type std::operator-<sub_framework::SubTask*, sub_framework::SubTask* const&, sub_framework::SubTask* const*>(std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask* const&, sub_framework::SubTask* const*> const&, std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask* const&, sub_framework::SubTask* const*> const&)
  0.00      2.53     0.00        1     0.00     0.00  std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**>::difference_type std::operator-<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**>(std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**> const&, std::_Deque_iterator<sub_framework::SubTask*, sub_framework::SubTask*&, sub_framework::SubTask**> const&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.
